frase,risco
sinto dor no peito intensa com suor frio e nausea ha trinta minutos,alto risco
dor forte no peito irradiando para o braco esquerdo e queixo,alto risco
falta de ar extrema com inchaço nas pernas e dificuldade para respirar ao deitar,alto risco
palpitacoes intensas com tontura e quase desmaiei,alto risco
batimento muito acelerado e irregular com falta de ar e suor frio,alto risco
aperto forte no peito que nao passa com dor no braco e suor frio,alto risco
dificuldade para respirar mesmo em repouso com inchaço nas pernas,alto risco
tontura intensa com fraqueza no braco direito e dificuldade para falar,alto risco
dor no peito ao respirar com batimento acelerado e falta de ar subita,alto risco
cansaco extremo com falta de ar em qualquer esforco e inchaço,alto risco
batimento irregular com desmaio e sensacao de coracão parado,alto risco
dor de cabeça muito forte e subita com visao turva e enjoo,alto risco
pressao muito alta com dor de cabeça intensa e zumbido,alto risco
dor no peito que piora ao deitar com febre e calafrio,alto risco
falta de ar subita e intensa com tosse com sangue e dor no peito,alto risco
leve cansaco apos dia longo de trabalho que passa com descanso,baixo risco
dor muscular nas costas apos carregar peso ontem,baixo risco
tontura rapida ao levantar que passou em segundos,baixo risco
leve desconforto no peito que passou sozinho rapidamente,baixo risco
pequena palpitacao apos muito cafe que desapareceu logo,baixo risco
cansaco normal apos uma corrida intensa na academia,baixo risco
leve dor no braco esquerdo apos exercicio de musculacao,baixo risco
incomodo no peito durante ansiedade que passou com respiracao,baixo risco
falta de ar leve ao subir tres lances de escada rapidamente,baixo risco
pressao um pouco elevada sem outros sintomas identificados,baixo risco
dor nas costas por postura ruim no trabalho esta semana,baixo risco
cansaco e mal estar leve que melhorou apos comer e descansar,baixo risco
leve tontura pela manha que passou apos tomar agua e cafe,baixo risco
palpitacao rapida apos susto que normalizou em minutos,baixo risco
dor muscular generalizada apos estrear um treino novo na academia,baixo risco
